user_id,recency,frequency,r_score,f_score,avg_r,avg_f,user_class
1000836,2017-12-03,243,100,100,60.0,60.0,价值用户
1000840,2017-12-03,272,100,100,60.0,60.0,价值用户
1000856,2017-12-03,264,100,100,60.0,60.0,价值用户
1000857,2017-12-03,22,100,20,60.0,60.0,普通用户
1000865,2017-12-03,60,100,60,60.0,60.0,普通用户
1000866,2017-12-03,148,100,80,60.0,60.0,价值用户
1000867,2017-12-03,10,100,20,60.0,60.0,普通用户
1000872,2017-12-03,79,100,60,60.0,60.0,普通用户
1000877,2017-12-03,85,100,60,60.0,60.0,普通用户
1000878,2017-12-03,55,100,40,60.0,60.0,普通用户
100088,2017-12-03,9,100,20,60.0,60.0,普通用户
1000882,2017-12-03,64,100,60,60.0,60.0,普通用户
1000887,2017-12-03,91,100,60,60.0,60.0,普通用户
1000889,2017-12-03,36,100,40,60.0,60.0,普通用户
1000896,2017-12-03,128,100,80,60.0,60.0,价值用户
10009,2017-12-03,352,100,100,60.0,60.0,价值用户
100091,2017-12-03,93,100,60,60.0,60.0,普通用户
1000911,2017-12-03,101,100,80,60.0,60.0,价值用户
1000912,2017-12-03,232,100,100,60.0,60.0,价值用户
1000916,2017-12-03,79,100,60,60.0,60.0,普通用户
1000919,2017-12-03,144,100,80,60.0,60.0,价值用户
1000922,2017-12-03,50,100,40,60.0,60.0,普通用户
1000923,2017-12-03,31,100,20,60.0,60.0,普通用户
1000936,2017-12-03,110,100,80,60.0,60.0,价值用户
1000937,2017-12-03,188,100,100,60.0,60.0,价值用户
1000944,2017-12-03,3,100,20,60.0,60.0,普通用户
100095,2017-12-03,45,100,40,60.0,60.0,普通用户
1000957,2017-12-03,38,100,40,60.0,60.0,普通用户
1000959,2017-12-03,109,100,80,60.0,60.0,价值用户
1000962,2017-12-03,96,100,80,60.0,60.0,价值用户
1000964,2017-12-03,25,100,20,60.0,60.0,普通用户
1000979,2017-12-03,37,100,40,60.0,60.0,普通用户
1000984,2017-12-03,27,100,20,60.0,60.0,普通用户
1000986,2017-12-03,112,100,80,60.0,60.0,价值用户
1000994,2017-12-03,62,100,60,60.0,60.0,普通用户
1001000,2017-12-03,151,100,80,60.0,60.0,价值用户
1001005,2017-12-03,163,100,100,60.0,60.0,价值用户
1001009,2017-12-03,34,100,40,60.0,60.0,普通用户
100101,2017-12-03,163,100,100,60.0,60.0,价值用户
1001016,2017-12-03,20,100,20,60.0,60.0,普通用户
1001017,2017-12-03,101,100,80,60.0,60.0,价值用户
1001018,2017-12-03,9,100,20,60.0,60.0,普通用户
1001024,2017-12-03,99,100,80,60.0,60.0,价值用户
1001029,2017-12-03,37,100,40,60.0,60.0,普通用户
100103,2017-12-03,20,100,20,60.0,60.0,普通用户
1001048,2017-12-03,124,100,80,60.0,60.0,价值用户
100105,2017-12-03,87,100,60,60.0,60.0,普通用户
1001054,2017-12-03,353,100,100,60.0,60.0,价值用户
1001065,2017-12-03,54,100,40,60.0,60.0,普通用户
100107,2017-12-03,92,100,60,60.0,60.0,普通用户
1001080,2017-12-03,18,100,20,60.0,60.0,普通用户
1001081,2017-12-03,29,100,20,60.0,60.0,普通用户
1001088,2017-12-03,101,100,80,60.0,60.0,价值用户
100109,2017-12-03,130,100,80,60.0,60.0,价值用户
1001091,2017-12-03,47,100,40,60.0,60.0,普通用户
1001092,2017-12-03,23,100,20,60.0,60.0,普通用户
1001099,2017-12-03,63,100,60,60.0,60.0,普通用户
1001102,2017-12-03,226,100,100,60.0,60.0,价值用户
1001104,2017-12-03,91,100,60,60.0,60.0,普通用户
1001108,2017-12-03,84,100,60,60.0,60.0,普通用户
1001120,2017-12-03,121,100,80,60.0,60.0,价值用户
1001121,2017-12-03,23,100,20,60.0,60.0,普通用户
1001122,2017-12-03,80,100,60,60.0,60.0,普通用户
1001127,2017-12-03,116,100,80,60.0,60.0,价值用户
100113,2017-12-03,72,100,60,60.0,60.0,普通用户
1001130,2017-12-03,391,100,100,60.0,60.0,价值用户
1001131,2017-12-03,98,100,80,60.0,60.0,价值用户
1001138,2017-12-03,29,100,20,60.0,60.0,普通用户
1001142,2017-12-03,41,100,40,60.0,60.0,普通用户
1001145,2017-12-03,86,100,60,60.0,60.0,普通用户
1001148,2017-12-03,9,100,20,60.0,60.0,普通用户
1001151,2017-12-03,85,100,60,60.0,60.0,普通用户
1001154,2017-12-03,43,100,40,60.0,60.0,普通用户
100116,2017-12-03,89,100,60,60.0,60.0,普通用户
1001163,2017-12-03,64,100,60,60.0,60.0,普通用户
1001185,2017-12-03,180,100,100,60.0,60.0,价值用户
1001186,2017-12-03,235,100,100,60.0,60.0,价值用户
1001195,2017-12-03,90,100,60,60.0,60.0,普通用户
1001197,2017-12-03,61,100,60,60.0,60.0,普通用户
1001199,2017-12-03,74,100,60,60.0,60.0,普通用户
1001201,2017-12-03,32,100,20,60.0,60.0,普通用户
1001204,2017-12-03,27,100,20,60.0,60.0,普通用户
1001205,2017-12-03,72,100,60,60.0,60.0,普通用户
1001216,2017-12-03,20,100,20,60.0,60.0,普通用户
1001224,2017-12-03,167,100,100,60.0,60.0,价值用户
1001227,2017-12-03,36,100,40,60.0,60.0,普通用户
1001228,2017-12-03,27,100,20,60.0,60.0,普通用户
1001230,2017-12-03,143,100,80,60.0,60.0,价值用户
1001232,2017-12-03,446,100,100,60.0,60.0,价值用户
1001235,2017-12-03,48,100,40,60.0,60.0,普通用户
1001241,2017-12-03,27,100,20,60.0,60.0,普通用户
1001248,2017-12-03,89,100,60,60.0,60.0,普通用户
100125,2017-12-03,26,100,20,60.0,60.0,普通用户
1001265,2017-12-03,22,100,20,60.0,60.0,普通用户
1001270,2017-12-03,151,100,80,60.0,60.0,价值用户
1001276,2017-12-03,18,100,20,60.0,60.0,普通用户
100128,2017-12-03,104,100,80,60.0,60.0,价值用户
1001285,2017-12-03,133,100,80,60.0,60.0,价值用户
1001291,2017-12-03,144,100,80,60.0,60.0,价值用户
1001295,2017-12-03,93,100,60,60.0,60.0,普通用户
1001296,2017-12-03,204,100,100,60.0,60.0,价值用户
1001299,2017-12-03,77,100,60,60.0,60.0,普通用户
10013,2017-12-03,250,100,100,60.0,60.0,价值用户
1001301,2017-12-03,200,100,100,60.0,60.0,价值用户
1001303,2017-12-03,34,100,40,60.0,60.0,普通用户
1001305,2017-12-03,120,100,80,60.0,60.0,价值用户
1001309,2017-12-03,72,100,60,60.0,60.0,普通用户
1001313,2017-12-03,96,100,80,60.0,60.0,价值用户
1001315,2017-12-03,20,100,20,60.0,60.0,普通用户
1001317,2017-12-03,73,100,60,60.0,60.0,普通用户
1001324,2017-12-03,55,100,40,60.0,60.0,普通用户
1001326,2017-12-03,331,100,100,60.0,60.0,价值用户
1001327,2017-12-03,139,100,80,60.0,60.0,价值用户
1001334,2017-12-03,56,100,40,60.0,60.0,普通用户
100134,2017-12-03,94,100,60,60.0,60.0,普通用户
1001346,2017-12-03,135,100,80,60.0,60.0,价值用户
1001347,2017-12-03,124,100,80,60.0,60.0,价值用户
1001352,2017-12-03,39,100,40,60.0,60.0,普通用户
1001360,2017-12-03,104,100,80,60.0,60.0,价值用户
1001365,2017-12-03,30,100,20,60.0,60.0,普通用户
1001366,2017-12-03,181,100,100,60.0,60.0,价值用户
1001368,2017-12-03,37,100,40,60.0,60.0,普通用户
1001373,2017-12-03,80,100,60,60.0,60.0,普通用户
1001375,2017-12-03,143,100,80,60.0,60.0,价值用户
1001378,2017-12-03,63,100,60,60.0,60.0,普通用户
1001381,2017-12-03,79,100,60,60.0,60.0,普通用户
1001396,2017-12-03,48,100,40,60.0,60.0,普通用户
1001399,2017-12-03,82,100,60,60.0,60.0,普通用户
1001404,2017-12-03,91,100,60,60.0,60.0,普通用户
100141,2017-12-03,152,100,80,60.0,60.0,价值用户
1001419,2017-12-03,153,100,80,60.0,60.0,价值用户
1001420,2017-12-03,10,100,20,60.0,60.0,普通用户
1001421,2017-12-03,246,100,100,60.0,60.0,价值用户
1001437,2017-12-03,18,100,20,60.0,60.0,普通用户
1001438,2017-12-03,81,100,60,60.0,60.0,普通用户
1001441,2017-12-03,202,100,100,60.0,60.0,价值用户
1001444,2017-12-03,152,100,80,60.0,60.0,价值用户
1001448,2017-12-03,65,100,60,60.0,60.0,普通用户
1001451,2017-12-03,5,100,20,60.0,60.0,普通用户
1001460,2017-12-03,354,100,100,60.0,60.0,价值用户
1001461,2017-12-03,113,100,80,60.0,60.0,价值用户
1001466,2017-12-03,281,100,100,60.0,60.0,价值用户
1001468,2017-12-03,135,100,80,60.0,60.0,价值用户
1001472,2017-12-03,30,100,20,60.0,60.0,普通用户
1001482,2017-12-03,203,100,100,60.0,60.0,价值用户
1001485,2017-12-03,55,100,40,60.0,60.0,普通用户
1001489,2017-12-03,7,100,20,60.0,60.0,普通用户
1001492,2017-12-03,19,100,20,60.0,60.0,普通用户
1001500,2017-12-03,15,100,20,60.0,60.0,普通用户
1001504,2017-12-03,50,100,40,60.0,60.0,普通用户
1001512,2017-12-03,153,100,80,60.0,60.0,价值用户
1001513,2017-12-03,104,100,80,60.0,60.0,价值用户
1001521,2017-12-03,76,100,60,60.0,60.0,普通用户
1001524,2017-12-03,284,100,100,60.0,60.0,价值用户
1001525,2017-12-03,33,100,20,60.0,60.0,普通用户
1001531,2017-12-03,17,100,20,60.0,60.0,普通用户
1001532,2017-12-03,41,100,40,60.0,60.0,普通用户
1001534,2017-12-03,70,100,60,60.0,60.0,普通用户
1001537,2017-12-03,126,100,80,60.0,60.0,价值用户
1001543,2017-12-03,71,100,60,60.0,60.0,普通用户
1001545,2017-12-03,76,100,60,60.0,60.0,普通用户
1001551,2017-12-03,66,100,60,60.0,60.0,普通用户
1001556,2017-12-03,26,100,20,60.0,60.0,普通用户
1001557,2017-12-03,19,100,20,60.0,60.0,普通用户
1001562,2017-12-03,16,100,20,60.0,60.0,普通用户
1001566,2017-12-03,294,100,100,60.0,60.0,价值用户
1001569,2017-12-03,240,100,100,60.0,60.0,价值用户
1001572,2017-12-03,100,100,80,60.0,60.0,价值用户
1001578,2017-12-03,23,100,20,60.0,60.0,普通用户
1001591,2017-12-03,21,100,20,60.0,60.0,普通用户
1001596,2017-12-02,24,20,20,60.0,60.0,普通用户
1001601,2017-12-03,17,100,20,60.0,60.0,普通用户
1001606,2017-12-03,45,100,40,60.0,60.0,普通用户
1001608,2017-12-03,95,100,60,60.0,60.0,普通用户
1001618,2017-12-03,408,100,100,60.0,60.0,价值用户
1001625,2017-12-03,442,100,100,60.0,60.0,价值用户
1001626,2017-12-03,95,100,60,60.0,60.0,普通用户
1001628,2017-12-03,47,100,40,60.0,60.0,普通用户
1001629,2017-12-03,60,100,60,60.0,60.0,普通用户
100164,2017-12-03,31,100,20,60.0,60.0,普通用户
1001641,2017-12-03,63,100,60,60.0,60.0,普通用户
1001642,2017-12-03,21,100,20,60.0,60.0,普通用户
1001652,2017-12-03,57,100,40,60.0,60.0,普通用户
1001654,2017-12-03,112,100,80,60.0,60.0,价值用户
1001662,2017-12-03,130,100,80,60.0,60.0,价值用户
1001667,2017-12-03,104,100,80,60.0,60.0,价值用户
1001670,2017-12-03,131,100,80,60.0,60.0,价值用户
1001673,2017-12-03,70,100,60,60.0,60.0,普通用户
1001676,2017-12-03,69,100,60,60.0,60.0,普通用户
1001686,2017-12-03,268,100,100,60.0,60.0,价值用户
1001688,2017-12-03,308,100,100,60.0,60.0,价值用户
1001689,2017-12-03,45,100,40,60.0,60.0,普通用户
1001694,2017-12-03,35,100,40,60.0,60.0,普通用户
1001696,2017-12-03,21,100,20,60.0,60.0,普通用户
1001697,2017-12-03,113,100,80,60.0,60.0,价值用户
1001700,2017-12-03,75,100,60,60.0,60.0,普通用户
1001711,2017-12-03,184,100,100,60.0,60.0,价值用户
1001727,2017-12-03,122,100,80,60.0,60.0,价值用户
100173,2017-12-03,148,100,80,60.0,60.0,价值用户
1001737,2017-12-03,67,100,60,60.0,60.0,普通用户
1001744,2017-12-03,101,100,80,60.0,60.0,价值用户
1001757,2017-12-03,81,100,60,60.0,60.0,普通用户
1001765,2017-12-03,59,100,40,60.0,60.0,普通用户
1001769,2017-12-03,41,100,40,60.0,60.0,普通用户
100177,2017-12-03,105,100,80,60.0,60.0,价值用户
1001771,2017-12-03,247,100,100,60.0,60.0,价值用户
1001774,2017-12-03,50,100,40,60.0,60.0,普通用户
100178,2017-12-03,301,100,100,60.0,60.0,价值用户
1001783,2017-12-03,80,100,60,60.0,60.0,普通用户
1001784,2017-12-03,132,100,80,60.0,60.0,价值用户
1001788,2017-12-03,269,100,100,60.0,60.0,价值用户
1001800,2017-12-03,67,100,60,60.0,60.0,普通用户
1001803,2017-12-03,95,100,60,60.0,60.0,普通用户
1001804,2017-12-03,25,100,20,60.0,60.0,普通用户
1001809,2017-12-03,74,100,60,60.0,60.0,普通用户
1001823,2017-12-03,56,100,40,60.0,60.0,普通用户
1001829,2017-12-03,203,100,100,60.0,60.0,价值用户
100184,2017-12-03,75,100,60,60.0,60.0,普通用户
1001840,2017-12-03,26,100,20,60.0,60.0,普通用户
1001841,2017-12-03,132,100,80,60.0,60.0,价值用户
1001844,2017-12-03,68,100,60,60.0,60.0,普通用户
1001847,2017-12-03,325,100,100,60.0,60.0,价值用户
1001850,2017-12-03,37,100,40,60.0,60.0,普通用户
1001855,2017-12-03,134,100,80,60.0,60.0,价值用户
1001856,2017-12-03,88,100,60,60.0,60.0,普通用户
100186,2017-12-03,34,100,40,60.0,60.0,普通用户
1001860,2017-12-03,378,100,100,60.0,60.0,价值用户
1001866,2017-12-03,78,100,60,60.0,60.0,普通用户
1001867,2017-12-03,17,100,20,60.0,60.0,普通用户
1001868,2017-12-03,70,100,60,60.0,60.0,普通用户
1001870,2017-12-03,45,100,40,60.0,60.0,普通用户
1001872,2017-12-03,201,100,100,60.0,60.0,价值用户
1001873,2017-12-02,15,20,20,60.0,60.0,普通用户
1001875,2017-12-03,119,100,80,60.0,60.0,价值用户
1001876,2017-12-03,184,100,100,60.0,60.0,价值用户
1001877,2017-12-03,202,100,100,60.0,60.0,价值用户
1001879,2017-12-03,30,100,20,60.0,60.0,普通用户
1001882,2017-12-03,96,100,80,60.0,60.0,价值用户
1001891,2017-12-03,18,100,20,60.0,60.0,普通用户
1001902,2017-12-03,62,100,60,60.0,60.0,普通用户
1001903,2017-12-03,29,100,20,60.0,60.0,普通用户
1001908,2017-12-03,251,100,100,60.0,60.0,价值用户
100191,2017-12-03,308,100,100,60.0,60.0,价值用户
1001910,2017-12-03,47,100,40,60.0,60.0,普通用户
1001912,2017-12-03,235,100,100,60.0,60.0,价值用户
1001915,2017-12-03,317,100,100,60.0,60.0,价值用户
1001917,2017-12-03,63,100,60,60.0,60.0,普通用户
1001920,2017-12-03,97,100,80,60.0,60.0,价值用户
1001921,2017-12-03,150,100,80,60.0,60.0,价值用户
1001934,2017-12-02,22,20,20,60.0,60.0,普通用户
1001935,2017-12-03,50,100,40,60.0,60.0,普通用户
1001944,2017-12-03,71,100,60,60.0,60.0,普通用户
1001946,2017-12-03,116,100,80,60.0,60.0,价值用户
1001947,2017-12-03,92,100,60,60.0,60.0,普通用户
1001952,2017-12-03,40,100,40,60.0,60.0,普通用户
1001967,2017-12-03,225,100,100,60.0,60.0,价值用户
100197,2017-12-03,15,100,20,60.0,60.0,普通用户
1001981,2017-12-03,6,100,20,60.0,60.0,普通用户
1001982,2017-12-03,99,100,80,60.0,60.0,价值用户
1001984,2017-12-03,13,100,20,60.0,60.0,普通用户
1001985,2017-12-03,4,100,20,60.0,60.0,普通用户
1001988,2017-12-03,191,100,100,60.0,60.0,价值用户
100199,2017-12-03,265,100,100,60.0,60.0,价值用户
10020,2017-12-03,40,100,40,60.0,60.0,普通用户
1002001,2017-12-03,7,100,20,60.0,60.0,普通用户
1002005,2017-12-03,114,100,80,60.0,60.0,价值用户
1002010,2017-12-03,222,100,100,60.0,60.0,价值用户
1002020,2017-12-03,117,100,80,60.0,60.0,价值用户
1002027,2017-12-03,23,100,20,60.0,60.0,普通用户
1002031,2017-12-03,264,100,100,60.0,60.0,价值用户
1002032,2017-12-03,44,100,40,60.0,60.0,普通用户
1002034,2017-12-03,61,100,60,60.0,60.0,普通用户
100204,2017-12-03,125,100,80,60.0,60.0,价值用户
1002040,2017-12-03,38,100,40,60.0,60.0,普通用户
1002042,2017-12-03,55,100,40,60.0,60.0,普通用户
1002044,2017-12-03,52,100,40,60.0,60.0,普通用户
1002045,2017-12-03,52,100,40,60.0,60.0,普通用户
1002046,2017-12-03,170,100,100,60.0,60.0,价值用户
1002058,2017-12-03,43,100,40,60.0,60.0,普通用户
1002064,2017-12-03,66,100,60,60.0,60.0,普通用户
1002066,2017-12-03,259,100,100,60.0,60.0,价值用户
1002082,2017-12-03,18,100,20,60.0,60.0,普通用户
1002093,2017-12-03,46,100,40,60.0,60.0,普通用户
1002095,2017-12-03,128,100,80,60.0,60.0,价值用户
10021,2017-12-03,125,100,80,60.0,60.0,价值用户
100210,2017-12-03,18,100,20,60.0,60.0,普通用户
1002114,2017-12-03,136,100,80,60.0,60.0,价值用户
1002118,2017-12-03,268,100,100,60.0,60.0,价值用户
1002127,2017-12-03,78,100,60,60.0,60.0,普通用户
1002128,2017-12-03,207,100,100,60.0,60.0,价值用户
